Geneset/Pathway	Fold Change	Average Expression	t.statistic	P.Value	adj.P.Val	log-odds-ratio	Pathway MemberGenes
Calcium Regulation in the Cardiac Cell (Wikipathways)	-3.323502687	6.965083352	-1.172924219	0.265177518	0.547684667	-5.562777418	"GJC1,RGS19,RGS14,GNB5,ADCY1,ADCY2,GJB6,ADCY3,YWHAQ,ADCY5,PKIG,ADCY6,CHRM1,CHRM2,ADCY7,CHRM3,CHRM4,CHRM5,ADCY8,ADCY9,GJB4,ADRA1D,ADRA1B,ADRA1A,ADRB1,ADRB2,ADRB3,ADCY4,FKBP1A,RGS17,GJA1,GJA3,GJA4,GJA5,GJA8,GJB1,GJB2,GJB3,GJB5,GNA11,GNAI1,GNAI2,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG11,GNGT1,SFN,GRK4,GRK5,GRK6,ANXA6,ITPR1,ITPR2,ITPR3,KCNB1,KCNJ3,KCNJ5,ARRB1,ARRB2,ATP1A4,ATP1B1,ATP1B2,ATP1B3,FXYD2,ATP2A2,ATP2A3,ATP2B1,ATP2B2,ATP2B3,GNG13,PLCB3,PLN,GNG2,PRKACA,PRKACB,PKIA,PKIB,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCB,PRKCD,PRKCE,PRKCG,PRKCH,PRKD1,PRKCQ,PRKCZ,GNG12,GJC2,GJD2,GNB4,RGS1,RGS2,RGS3,RGS4,RGS7,RGS10,RGS16,RYR1,RYR2,RYR3,RGS18,SLC8A1,SLC8A3,YWHAB,YWHAE,YWHAG,YWHAH,YWHAZ,CACNA1A,CACNA1B,CACNA1C,CACNA1D,CACNA1E,CACNA1S,CACNB1,CACNB3,CALM1,CALM2,CALM3,GJA9,CALR,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CASQ1,CASQ2,RGS5,CAMK1,RGS20,RGS11,RGS9,GNG8,RGS6"
"Valine, leucine and isoleucine biosynthesis (KEGG)"	-3.001253783	6.434020389	-1.172067534	0.265507399	0.547684667	-5.563711488	"LARS2,IARS,LARS,PDHA1,PDHA2,PDHB,IARS2,VARS2,BCAT1,BCAT2,VARS"
"{HIF1A,58} (Static Module)"	-3.496759944	6.353920947	-1.171768203	0.265622738	0.547684667	-5.564037734	"PLIN2,AHR,AHRR,ARNT,ARNT2,ARNTL,ARNTL2,B4GALT1,BHLHE40,BHLHE41,CLOCK,CRY1,CRY2,DEC1,EGLN2,EGLN1,EGLN3,EPAS1,ERRFI1,ESRRA,ESRRB,FAM162A,FKBP8,GPX5,HIF1A,HIF1AN,HIF3A,HIGD1A,HS2ST1,LALBA,NPAS1,NPAS2,NPAS3,NPAS4,NR1D1,OS9,PER1,PER2,PER3,PFKFB1,PFKFB2,PFKFB3,PFKFB4,POU3F1,POU3F2,POU3F3,POU3F4,POU4F1,POU4F2,POU4F3,PPT1,SIM1,SLC2A1,SOX11,SSX4,TIMELESS,TUFT1"
Endocrine and other factor-regulated calcium reabsorption (KEGG)	-3.336462956	7.25515495	-1.162801546	0.269096003	0.553044707	-5.573780733	"DNM1L,ADCY6,ADCY9,AP2M1,AP2S1,CLTA,CLTB,CLTC,AP2A1,AP2A2,AP2B1,DNM1,DNM2,ESR1,PLCB1,ATP1B4,DNM3,GNAQ,GNAS,KLK1,KLK2,ATP1A1,ATP1A2,ATP1A3,ATP1A4,ATP1B1,ATP1B2,ATP1B3,FXYD2,ATP2B1,PLCB2,PLCB3,PLCB4,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCG,PRKX,TRPV5,PTH1R,BDKRB2,SLC8A1,VDR,CALB1,CLTCL1,RAB11A,KL"
Toxoplasmosis (KEGG)	-3.258925871	6.632363461	-1.157063837	0.271337076	0.555845854	-5.579984757	"AKT3,NA,PLA2G4B,PPIF,LAMC3,TAB1,CHUK,CCR5,PLA2G4E,MAPK14,AKT1,AKT2,LAMB4,TAB2,PIK3R5,LY96,ALOX5,PLA2G2D,GNAI1,GNAI2,GNAI3,GNAO1,LAMA1,PLA2G2E,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,BIRC2,BIRC3,HSPA1A,HSPA1B,HSPA1L,HSPA2,XIAP,HSPA6,HSPA8,IRGM,IFNG,IFNGR1,IFNGR2,IKBKB,IL10,IL10RA,IL10RB,IL12A,IL12B,IRAK1,ITGA6,ITGB1,JAK1,JAK2,LAMA2,LAMA3,LAMA4,PLA2G2C,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LDLR,CIITA,MYD88,NFKB1,NFKBIA,NFKBIB,NOS2,PLA2G3,IRAK4,PDK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,CYCS,MAPK1,MAPK3,MAPK8,MAPK11,MAPK9,MAPK10,MAPK13,MAP2K3,MAP2K6,BAD,BCL2,RELA,BCL2L1,MAPK12,PLA2G2F,STAT1,STAT3,MAP3K7,TGFB1,TGFB2,TGFB3,TLR2,TLR4,TNF,TNFRSF1A,TRAF6,TYK2,PLA2G12A,CASP3,PLA2G6,PLA2G10,CASP8,CASP9,PLA2G12B,PIK3R3,IKBKG,SOCS1,JMJD7-PLA2G4B,CD40,CD40LG"
Systemic lupus erythematosus (KEGG)	-2.668712095	5.930714068	-1.153497542	0.27273734	0.556912052	-5.583828867	"NA,HIST4H4,HIST2H3C,HIST3H2BB,CTSG,H2BFWT,ELANE,FCGR1A,FCGR2A,FCGR2B,FCGR3A,FCGR3B,HIST1H2AA,HIST1H2BA,H2BFM,GRIN2A,GRIN2B,HIST1H2AE,HIST1H2AD,H2AFX,H2AFZ,HIST1H2BD,HIST1H2BB,H3F3A,H3F3B,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HIST2H2AB,HIST2H3A,IFNG,IL10,H3F3C,HIST2H2BF,H2AFB2,H2AFB1,HIST2H4B,H2AFY2,H2AFJ,NA,HIST2H3D,SNRPB,SNRPD1,SNRPD3,TRIM21,TROVE2,SSB,C1QA,TNF,C1QB,C1QC,C1R,C1S,C2,C3,C4A,C4B,HIST2H2AA4,C5,C6,C7,C8A,C8B,C8G,C9,ACTN4,HIST3H3,HIST1H4I,HIST1H2AI,HIST1H2AK,HIST1H2AJ,HIST1H2AL,HIST1H2AC,HIST1H2AB,HIST1H2AM,HIST2H2AA3,HIST2H2AC,HIST1H2BG,HIST1H2BL,HIST1H2BN,HIST1H2BM,HIST1H2BF,HIST1H2BE,HIST1H2BH,HIST1H2BI,HIST1H2BC,HIST1H2BO,HIST2H2BE,HIST1H3A,HIST1H3D,HIST1H3C,HIST1H3E,HIST1H3I,HIST1H3G,HIST1H3J,HIST1H3H,HIST1H3B,HIST1H4A,HIST1H4D,HIST1H4F,HIST1H4K,HIST1H4J,HIST1H4C,HIST1H4H,HIST1H4B,HIST1H4E,HIST1H4L,HIST1H4G,HIST2H4A,H2AFB3,HIST1H2AH,HIST1H2BK,ACTN1,ACTN2,ACTN3,HIST1H3F,HIST1H2AG,HIST1H2BJ,FCGR2C,HIST3H2A,CD28,CD80,CD86,H2AFV,H2AFY,CD40,CD40LG"
Hedgehog Signaling Pathway (Wikipathways)	-3.475225208	6.104077935	1.150827082	0.273789544	0.557016003	-5.586701304	"SAP18,CREBBP,DYRK1A,SIN3A,GAS1,STK36,GLI1,GLI2,GLI3,IGF2,IHH,DHH,SUFU,RAB23,PTCH1,HHIP,SHH,SKI,SMO,PTCH2,CCNB1,CDK1"
AR up reg. targets (Netpath)	-2.927302679	6.630985058	-1.147982793	0.274913708	0.557016003	-5.589755007	"SGK3,SEC63,SELENOK,SEMA5A,SELENOP,SERP1,SF3B5,SEC61G,SEC61B,SEC24D,SEC24A,SEC13,SDCBP,SCD,SCAP,MSMO1,SHMT2,SLC22A3,SLC26A2,SRP19,SPHAR,SPDEF,SPCS3,SPCS2,SORD,SNX25,SNAPC5,SNAP25,SMS,SLC4A3,SLC39A10,SLC38A2,SLC35B1,SLC33A1,SRPRB,SBDS,PTPN21,PSMD8,PSMA6,PSMA5,PRDX4,POLR1E,PPP2CB,PPP1CB,PPM1D,PPIC,PPIB,PLPP5,PLPP1,POMC,PMM2,PTPN9,PTPRM,ERGIC2,SAT1,SAR1B,SAA2,S100A11,RPS6KA3,RPS27A,RHOB,RFK,RBX1,RBM10,RAP1GAP,RAB4A,RAB3IP,RAB27A,PYGB,PML,ATP6V0B,XPC,XBP1,WWP1,WDR41,WAS,SELENOS,VCL,VAPA,USP38,UQCRC2,UNC13B,UGDH,UFM1,UBE2J1,UBE2G1,YRDC,ZBTB10,ZBTB16,VEGFA,SNAI2,SGK1,SCNN1A,PHYH,ODC1,KLK3,HSD17B4,FKBP5,DHCR24,B2M,ZNF574,RNF114,ZCCHC9,ZCCHC14,UBE2B,UAP1,THYN1,THRAP3,ELOC,TBRG1,TBP,TBC1D1,TAF9,SURF4,STX7,STK39,STEAP4,HSPA13,STARD3NL,SSR4,SSR3,NA,TMED7,VMP1,TXNDC9,ERP44,TWIST1,TSC22D1,TRO,TRIM11,TRAPPC3,TRAM1,HSP90B1,TPD52,TNK2,TNFAIP8,TMPRSS2,PMEPA1,TMEM87B,SSR1,ATP2B4,ANKH,ANAPC10,AMD1,ALG2,ALDH1A3,PALM2-AKAP2,AKAP12,AKAP1,AGTRAP,ADRM1,ADAMTS1,ADAM9,ACTR3,ACTN1,ACSL3,ACAT2,ANXA4,AP2S1,APOD,ATP1A1,ATG4A,ATF7,ATF3,ATAD2,ASAH1,ARPC3,ARPC1B,MANF,ARL1,ARG2,ARF4,ARF1,ARCN1,APPBP2,APP,ABHD2,ABCC4,ABCA5,RUNX1,RPN2,RPN1,RETN,RBBP7,PTPRO,PTGDS,POMC,PNLIPRP1,PIP,NR3C2,NMB,NGF,NFIA,MYOM2,MGLL,RUNX2,SEL1L,SERPINI2,TXNDC5,TGFB2,SULT1E1,SST,SSR3,SREBF2,SREBF1,SRD5A1,SPRR2A,SNAI1,SLC9A3,SLC9A2,SLC38A5,SLC27A4,SLC27A2,SLC12A1,MAK,ELOVL7,CTSD,CTH,CSNK1A1,CREB3L2,CPSF2,CPD,CCP110,COX5A,COX17,COPS7A,COPS3,CNOT6,CNOT10,CLDN12,CKS1B,SYT14P1,CYB5A,CYR61,DBI,ELOVL5,ELL2,EGR3,EFNA5,EEF1E1,EDEM1,DUSP4,DNM1L,DNAJC3,DNAJB9,DHX15,HSD17B11,HSD17B14,DEGS1,DDT,DCTN3,CHCHD2,CDK4,CDK2AP2,C1orf35,C1orf21,PITHD1,AKIRIN1,KNSTRN,RSL24D1,TMEM258,BTG1,BSCL2,MPC2,BNIP3,SLC25A33,BMPR1B,BCO2,B4GALT1,AZGP1,CRLS1,EDEM2,C2orf27A,CDC6,CDC14B,CD59,CCNB1,CBWD1,CAMKK2,CALU,CALR,C8orf76,INTS10,GTF3C6,AKIRIN2,FAM103A2P,REEP5,TIMMDC1,ERLEC1,ATP6V1G1,LIPE,IDI1,KRT19,KRT8,LAMA4,LAMC1,LCP1,LEPROTL1,LIFR,LIG1,LMAN1,LRRFIP2,MAF,MAPK6,MATN2,MCCC2,MCEE,MERTK,KRT18,KLK4,KLK2,IL1R1,INPP4B,IQGAP2,ITGA9,ITGAV,STT3A,JAG1,JMJD1C,KCNN2,KCTD3,KCTD9,KDELR2,KDELR3,CEP44,KIF22,KLF4,MGAT2,MKLN1,MYL12A,ORM2,P4HB,PACSIN2,PAK1IP1,PCTP,PDIA4,PDIA5,PDLIM5,PEA15,ECI2,PGC,PGM2,PGM3,PIAS1,PICALM,PKIB,NUP58,NUDT5,NR4A1,MPHOSPH9,MPZL1,MRPL33,MTA2,MTHFD2,MTMR8,MYO1B,NAT1,NDFIP2,NDRG1,NEDD4L,NFIA,NFKBIA,NKX3-1,NLGN4X,NPC1,PMAIP1,LEF1,FASN,ELOVL3,ELOVL1,EGF,DDR1,DAD1,CITED2,CDKN1B,CDKN1A,CD44,CCND3,CCND1,CACNA1A,CA2,ASGR1,AR,FDPS,FOS,FST,NA,JUN,IGFBP5,IGF1R,IGF1,HSPA5,HSD17B7,HSD17B3,HSD17B2,HSD11B2,HK2,GPX5,GPX3,GLDC,MOGS,GADD45G,ADAM7,ABCD3,ABCA1,GTF2E2,GUCY1A3,H1F0,HEBP2,HERC3,HES6,HIGD1A,HINT1,HLCS,HMGCL,HMGCR,HMGCS1,HOMER2,HPGD,HS3ST1,HSD17B4,GSR,GOT1,GOLT1B,EMP2,ERO1A,EXTL2,EXTL3,F2RL1,FADS1,FKBP11,FXYD3,GCSH,GDF15,GFM1,GHR,GLRX2,GLUD1,GNPNAT1,GOLPH3,ICAM3"
Endocytosis (KEGG)	-3.632120643	6.305348633	-1.146684239	0.275428134	0.557016003	-5.591147208	"PDCD6IP,DNM1L,RNF41,STAM2,STAMBP,EHD1,RAB31,WWP1,SNF8,VPS45,ACAP3,ARAP2,ARAP1,AGAP2,AGAP1,AP2M1,AP2S1,CLTA,CLTB,CLTC,CCR5,CHMP4B,GRK7,VPS37A,PIP5KL1,CSF1R,ADRB1,ADRB2,ADRB3,VPS37D,GRK2,GRK3,AP2A1,DAB2,AP2A2,AP2B1,DNM1,DNM2,EGF,EGFR,EPS15,ERBB3,ERBB4,F2R,FGFR3,FGFR2,FGFR4,RAB11FIP2,EPN2,IQSEC2,FLT1,NEDD4L,PSD3,PIP5K1C,FOLR1,FOLR2,FOLR3,ACAP2,PSD4,CBLC,CHMP2B,DNM3,RAB11FIP5,LDLRAP1,ARFGAP3,VPS4A,CHMP2A,GRK4,GRK5,GRK6,GIT1,CHMP4A,EPN1,SH3KBP1,EHD4,EHD3,EHD2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,HRAS,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA6,HSPA8,IGF1R,IL2RA,IL2RB,IL2RG,CXCR1,CXCR2,KDR,KIT,ARF6,RHOA,IZUMO1R,LDLR,ARRB1,SMAD2,SMAD3,ARRB2,SMAD6,SMAD7,MDM2,MET,IQSEC3,NEDD4,NTRK1,ASAP1,PARD6A,VPS36,SH3GLB1,VPS28,CHMP5,VTA1,PDGFRA,CHMP3,PLD1,PLD2,PML,EPN3,VPS37C,ASAP3,ARFGAP1,PRKCI,PRKCZ,PARD3,PSD,SH3GLB2,CHMP1B,SMURF1,RAB22A,RAB4A,RAB5A,RAB5B,RAB5C,RET,GRK1,SMAP1,RBSN,ARAP3,SH3GL1,SH3GL2,SH3GL3,SMAP2,SMURF2,NA,NA,SRC,TFRC,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TRAF6,TSG101,CXCR4,RAB7A,CHMP6,VPS37B,RAB11FIP1,RUFY1,STAM,CLTCL1,ITCH,PIP5K1A,PIP5K1B,EEA1,PSD2,VPS25,ARFGAP2,RAB11FIP4,PARD6G,PARD6B,CAV1,CAV2,CAV3,CBL,CBLB,RAB11A,ASAP2,MVB12B,USP8,RABEP1,HGS,CHMP7,RAB11B,CHMP4C,MVB12A,ZFYVE9,VPS4B,RAB11FIP3,ACAP1,ZFYVE16,GIT2,DNAJC6,IQSEC1,CDC42"
Tryptophan metabolism (Wikipathways)	-3.042607291	5.883863244	1.143618762	0.276645497	0.557696177	-5.594428869	"INMT,AFMID,ACMSD,AANAT,CYP1A1,CYP1A2,CYP1B1,CYP2A13,CYP2C18,CYP2E1,CYP2F1,CYP2J2,CYP3A4,CYP19A1,DDC,DHCR24,ECHS1,ALDH1A1,ALDH2,ALDH9A1,ALDH3A2,HAAO,AOC1,GCDH,HSD17B10,HADH,AOX1,PRMT1,IDO1,ACAT1,MAOB,MDM2,ASMT,OGDH,AADAT,UBR5,RNF25,CYP4F12,TDO2,TPH1,NA,UBE3A,WARS,CAT,ALDH1A2,KYNU,CYP7B1"
IL-5 Signaling Pathway (Wikipathways)	-3.158075202	6.900575926	-1.133812591	0.280567756	0.563807585	-5.604880369	"CDKN1B,SH2B2,ATF2,CRKL,MAPK14,CSF2RB,CTNNB1,DNM2,ELK1,AKT1,PTK2B,FOXO3,ALOX5,ALOX5AP,SHC2,GRB2,RAPGEF1,GSK3A,GSK3B,HCK,HCLS1,HRAS,ICAM1,ICAM3,IL2RB,IL5,IL5RA,ITGAM,ITGB2,JAK1,JAK2,JUN,KRAS,LYN,NFKB1,NFKBIA,PIM1,PIK3CG,PIK3R1,PIK3R2,PLA2G4A,PRKCB,PRKCD,MAPK1,MAPK3,MAPK9,MAP2K2,PTPN6,PTPN11,BAX,RAC1,RAF1,RAP1GAP,RPS6KA1,SDCBP,SHC1,SOX4,STAT1,STAT3,STAT5A,STAT5B,SYK,BTK,VAV1,YWHAZ,SOCS1,CBL,CCND3,UNC119"
G13 Signaling Pathway (Wikipathways)	-2.643661049	7.500662925	-1.127406515	0.283153175	0.567202404	-5.611669832	"TNK2,GNA13,CFL1,CFL2,IQGAP2,CIT,DIAPH1,RHOA,ARHGDIB,ARHGDIG,LIMK1,MAP3K4,MYBPH,MYL1,PAK3,PFN1,PIK3CA,PIK3CB,PIK3CD,PIK3R2,PIP4K2A,PPP1CB,PKN1,MAPK10,SH3RF1,RAC1,ROCK1,RPS6KB1,RTKN,ROCK1P1,WAS,CALM1,CALM2,CALM3,RHPN2,IQGAP1,WASL,ARHGEF1,ROCK2,CDC42"
AR down reg. targets (Netpath)	-2.881608112	7.341348268	-1.124288579	0.284418167	0.567939116	-5.614963405	"ASAP2,BAMBI,BARD1,BCHE,BSG,IRF2BPL,AIDA,NREP,CACNB3,NA,ATP2B1,ACPP,ACSL5,ACAN,ALDH2,ANKRD28,ARHGAP11A,ASNS,ATP11A,CAMK2N1,LINC00216,COMMD1,CRAT,CTBP1,CTNNB1,CTNND1,CUX1,CYP24A1,DDC,COLEC12,COL5A2,NA,CASP10,CASP9,CCNG2,CDK8,CITED2,CLU,ACKR3,ACP6,ACAT1,ABLIM1,FOSL2,FOXQ1,GRN,HOXA5,ID2,IGF1R,IGFBP3,IL6,EGR1,EFNA1,CCND2,CDKN1A,CEBPA,CGA,CNTFR,CX3CL1,CYP17A1,CYP17A1,JAG1,JUN,PPARG,SCD,SFRP4,SPP1,ST3GAL1,STAR,SULT2A1,TGFB2,PDYN,PDK2,KLK3,LPL,LTBP1,MINPP1,NOTCH1,OXT,PAM,RASSF9,BTG2,DPH1,SNRK,SELENBP1,SERPINI1,SESN1,SLC12A2,SLC20A2,SLC29A1,SLC44A1,SMARCD3,SDC4,SCNN1A,PLEKHB1,PPP2R2A,PRKD1,PURA,RALB,RALGPS1,RNASE4,DSE,SMPD1,SNRPG,UBL4A,UGT2B15,KDM6A,XPA,XPC,ZFHX4,ZIC2,ZBTB43,TXNIP,TULP4,SNX1,SQSTM1,SSBP2,ST7,STXBP1,TGFB1,TIMP2,TLE3,PLA2G2A,PKIB,ENO2,HRG,HOXB13,HMGCL,HLA-E,HERC1,GSTA2,GRB10,ADGRG6,GLI3,GCHFR,GATA2,FZD3,FTL,FN1,FLOT2,ERBB2,EPS8,SUSD6,KIF5B,LPGAT1,NUCB2,NA,P2RY2,P4HA1,CDK16,PDCD5,PEG3,PIK3R3,NFKB1,NFIX,LRBA,LRRN1,MAP4K1,MBTPS1,MDK,MMP16,MYC,NET1"
Bacterial invasion of epithelial cells (KEGG)	-3.005925459	7.552155289	-1.120214192	0.28607776	0.569304036	-5.61925646	"DNM1L,ARPC5,ARPC4,ARPC3,ARPC1B,ARPC2,WASF2,MAD2L2,ARPC1A,CLTA,CLTB,CLTC,CRK,CRKL,CTNNA1,CTNNA2,CTNNB1,SEPT1,DNM1,DNM2,DOCK1,CTTN,FN1,PIK3R5,CD2AP,CBLC,GAB1,SHC2,DNM3,ARHGEF26,CTNNA3,HCLS1,ILK,ITGA5,ITGB1,RHOA,RHOG,SHC4,MET,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,SHC3,PTK2,PXN,RAC1,ACTB,SHC1,NA,SRC,ACTG1,VCL,WAS,ARHGAP10,ARPC5L,CLTCL1,PIK3R3,CAV1,CAV2,CAV3,CBL,CBLB,WASF1,WASL,BCAR1,ELMO1,CDC42,CDH1"
SIDS Susceptibility Pathways (Wikipathways)	-3.589072007	6.096545149	-1.118201172	0.286900454	0.569304036	-5.621372971	"NA,DEAF1,CTCF,PPARGC1A,CHRNA4,CHRNB2,CHRNB4,ADCYAP1,ADCYAP1R1,TPH2,PPARGC1B,CREB1,DDC,ECE1,EN1,EP300,ESR2,FOXM1,GATA2,GATA3,GNB3,NR3C1,TLX3,HADHA,HES1,HSPD1,HTR1A,HTR2A,ACADM,IL6,IL6R,CXCL8,IL10,AR,KCNH2,KCNQ1,HES5,PHOX2A,LMX1B,MAOA,ASCL1,NFKB1,NFYA,NKX2-2,NKX3-1,YBX1,POU3F2,FEV,CC2D1A,AVP,CDCA7L,REST,RET,RORA,RYR2,SCN5A,SLC6A4,SLC9A3,SP1,TNF,TPH1,C4A,C4B,VIPR1,VIPR2,CAV3,PHOX2B"
Synthesis and degradation of ketone bodies (KEGG)	-3.239530988	5.13728511	-1.104471959	0.292559912	0.575901948	-5.635727524	"HMGCL,HMGCS1,HMGCS2,ACAT1,ACAT2,OXCT1,BDH2,BDH1,OXCT2"
Signaling by EGFR (Reactome)	-3.485862521	7.107768378	-1.102129249	0.293534095	0.575901948	-5.638162865	"ADAM10,ADAM12,ADAM17,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,ARHGEF7,CBL,CDC42,CDK1,CLTA,CLTC,CSK,EGF,EGFR,EPN1,EPS15,EPS15L1,GAB1,GRB2,HGS,HRAS,KRAS,LRIG1,MAP2K1,MAP2K2,MAPK1,MAPK3,NRAS,PAG1,PIK3CA,PIK3R1,PLCG1,PTPN11,PXN,RAF1,RPS27A,SH3GL2,SH3KBP1,SHC1,SOS1,SPRY1,SPRY2,SRC,STAM,STAM2,UBA52,UBB,UBC,YWHAB"
alpha-Linolenic acid metabolism (KEGG)	-3.052531659	6.722391953	1.101211502	0.293916402	0.575901948	-5.639115778	"PLA2G4B,PLA2G4E,PLB1,PLA2G2D,PLA2G2E,PLA2G2C,PLA2G3,ACOX1,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLA2G2F,PLA2G12A,ACOX3,PLA2G6,PLA2G10,PLA2G12B,JMJD7-PLA2G4B,FADS2"
"{POU2F1,21} (Static Module)"	-3.400042148	5.118747069	-1.10036237	0.294270464	0.575901948	-5.639996885	"AKR1C1,AKR1C2,AKR1C3,ALDOC,BRF2,ENPP2,GNRH1,HIST1H2BJ,HOXC4,MS4A1,NPAT,PLD2,POU2AF1,POU2F1,POU2F2,SNAPC1,SNAPC2,SNAPC3,SNAPC4,SNAPC5,ZNF143"
"{HRAS,27} (Static Module)"	-3.371905573	5.778318198	-1.099155009	0.294774457	0.575901948	-5.641248775	"HRAS,CCDC6,RGL3,RGL2,ICMT,KRAS,NRAS,RALA,RALB,RALGDS,RAPGEF2,RASSF1,RASSF2,RGL4,RIN1,RIT1,RIT2,RRAS,RRAS2,SHOC2,TFG"
IL-4 up reg. targets (Netpath)	-3.157946614	6.302338342	-1.092206938	0.297687612	0.579803872	-5.648431782	"RIPK2,SELE,SATB1,S100P,RSAD2,RNASE2,SLC11A2,SLC22A4,SLC38A1,SLC39A8,SOS1,SPINT2,SSBP2,ST6GAL1,ST8SIA1,ARHGAP32,RGS2,PCDH7,PIK3CG,PKNOX2,PMCH,POU4F1,PPP1R16B,CYTH1,PTGER2,PTX3,NECTIN3,RASA2,RASGRP1,RBMS1,RDX,PAWR,STK17B,CCL2,CPM,CTSC,CYP1A1,EDNRA,FCER2,GCSAM,IL4R,ANOS1,PDZK1IP1,POSTN,SERPINB3,SERPINB4,TNC,CA2,ARG1,SULF1,SUV39H2,MED16,TMOD1,TNIK,TOP2A,TOX,TP53BP2,TPK1,UBL3,UPP1,VDR,XCL1,AHR,MCM5,CASP2,TIMP3,TIMP2,TFPI,TFEC,TCF7,SOCS3,SOCS1,SCGB3A1,SAMSN1,S100A9,RELA,REL,NKG7,NFKB1,NFIL3,MYC,MCM7,TLR4,VCAM1,ALX1,C1orf106,TMEM259,RNF219,BMP4,BMP2,BCL2L11,ATXN1,ARL4C,ARID5B,ARHGAP25,ALDH1A2,CRYBG1,ACAN,ACTN1,ABHD8,ABCD3,MCM6,MCM4,F3,ETV3,EGR2,CYP2E1,CSF3R,CHST10,CDC25A,CD86,CD1C,CCL26,CCL22,BCL3,BCL2,BBX,ANXA1,ALOX15,AICDA,FN1,FOS,MCM3,MCM2,KLF4,JUN,ITGAM,IL6,IL2RB,IL13RA2,IL13RA1,IL13,IL10,IGHE,IGF1,IFNG,ID3,HSPA8,HLA-DQA1,MAOA,CASP3,OSBPL11,IL1RN,IL10RA,RNF19B,HSPB8,HS3ST1,HRASLS,HPCAL1,HIST2H2BE,GZMB,GUCY1B3,GNAI1,GJA5,GCNT1,GATA6,GATA3,GAS6,FOXC1,INHBA,JAG1,NUAK1,NNMT,DENND4A,MXD1,MTHFR,MS4A4A,MET,MAP3K14,MAL,MAF,MAD2L1,LRRTM2,LRRN3,LOX,PRR16,LIFR,KCNK3,FKBP5,FJX1,DACT1,DAAM1,CYP1B1,CXCR4,CTSL,VCAN,CSF2RB,CREM,CPT2,ENOX2,COBLL1,CLCN4,CITED2,CH25H,CEBPB,CDC45,CD8B,DKK2,DMD,FGL2,FCN3,FBN1,FAT1,F13A1,EXT1,ENPP1,ELL2,ELAVL2,EGLN3,EEF1A2,S1PR1,GPR183,DUSP6,DPPA4,DOK5,DNAJC3,CCPG1"
Complement and coagulation cascades (KEGG)	-2.517312221	5.434723119	1.077727497	0.303828739	0.588240898	-5.66328354	"MASP2,CPB2,CR1,CR2,CD55,CFD,A2M,F2,F2R,F3,F5,F7,F8,F9,F10,F11,F12,F13A1,F13B,FGA,FGB,FGG,SERPIND1,CFH,CFI,KLKB1,KNG1,MBL2,CD46,SERPINC1,SERPINE1,SERPINA5,SERPINA1,PLAT,PLAU,PLAUR,PLG,SERPINF2,PROC,PROS1,MASP1,BDKRB1,BDKRB2,CFB,TFPI,THBD,SERPING1,C1QA,C1QB,C1QC,C1R,C1S,C2,C3,C3AR1,C4A,C4B,C4BPA,C4BPB,C5,C5AR1,C6,C7,C8A,C8B,C8G,C9,VWF,CD59"
Glutathione metabolism (Wikipathways)	-3.622861562	5.134257936	1.077612252	0.303877999	0.588240898	-5.66340111	"GSTA5,G6PD,GGT1,GGT5,OPLAH,GCLC,GCLM,NA,ANPEP,GSR,GSS,GSTA1,GSTM1,GSTM2,GSTT1,GSTT2,IDH1,GSTT2B"
